Genes;samples;counts;condition
SLC27A6;Ctrl_B3;1,15149842322413e+01;Ctrl
SLC27A6;Ctrl_B4;1,67655702488885e+01;Ctrl
SLC27A6;Ctrl_B7;1,05132707019934e+01;Ctrl
SLC27A6;DM1_19;1,96486556815085e+01;DM1
SLC27A6;DM1_35;7,20073562422957e+01;DM1
SLC27A6;DM1_43;5,00903021402072e+01;DM1
SLC27A6;DM1_18;2,88424491438685e+01;DM1
SLC27A6;DM1_44;4,54709363237856e+01;DM1
SLC27A6;DM1_15;3,59987095256450e+01;DM1
SLC27A6;DM1_50;8,01078123544064e+01;DM1
SLC27A6;DM1_32;3,54197517912865e+01;DM1
SLC27A6;DM1_37;3,97611403145593e+01;DM1
SLC27A6;DM1_13;3,85717383714854e+01;DM1
SLC27A6;DM1_21;4,71940404847687e+01;DM1
SLC27A6;DM1_48;4,64506415749458e+01;DM1
SLC27A6;DM1_40;3,24676503619108e+01;DM1
SLC27A6;DM1_54;2,66906059940029e+01;DM1
SLC27A6;DM1_46;2,60678896574664e+01;DM1
SLC27A6;DM1_51;2,13954008969026e+01;DM1
SLC27A6;DM1_31;8,98597537009873e+01;DM1
SLC27A6;DM1_47;4,06891867286457e+01;DM1
SLC27A6;DM1_23;3,08394468073536e+01;DM1
SLC27A6;DM1_24;3,11554994353063e+01;DM1
SLC27A6;DM1_27;4,96710916852613e+01;DM1
KIF15;DM1_41;4,20025285648770e+01;DM1
KIF15;DM1_36;8,54390819294388e+01;DM1
KIF15;DM1_53;3,30294661227596e+01;DM1
KIF15;DM1_45;2,38603733794344e+01;DM1
KIF15;DM1_17;1,71545362135160e+01;DM1
KIF15;DM1_22;5,66865456880464e+01;DM1
KIF15;DM1_39;3,54269749834883e+01;DM1
KIF15;DM1_34;2,17369105091926e+01;DM1
KIF15;DM1_25;2,97121374010923e+01;DM1
KIF15;DM1_33;2,38814980853608e+01;DM1
KIF15;DM1_26;5,22995051512905e+01;DM1
KIF15;DM1_30;5,26164588025502e+01;DM1
KIF15;DM1_52;3,59075499962580e+01;DM1
KIF15;Ctrl_B2;1,29085064911198e+01;Ctrl
KIF15;Ctrl_B8;2,40525433485641e+01;Ctrl
KIF15;DM1_20;1,31630745264302e+01;DM1
KIF15;DM1_14;2,22131368964534e+01;DM1
KIF15;DM1_29;4,36743600843663e+00;DM1
KIF15;DM1_42;1,38327193217403e+01;DM1
KIF15;Ctrl_B10;9,35241563642395e+00;Ctrl
KIF15;Ctrl_B6;8,06699284062484e+00;Ctrl
KIF15;DM1_56;1,20270555569667e+01;DM1
KIF15;Ctrl_B11;3,91478125427453e+00;Ctrl
KIF15;DM1_28;1,59605868290216e+01;DM1
KIF15;Ctrl_B5;9,67520255225152e+00;Ctrl
KIF15;DM1_55;1,29720654136253e+01;DM1
KIF15;Ctrl_B1;1,00947685244898e+01;Ctrl
KIF15;DM1_16;2,30345040193429e+01;DM1
KIF15;DM1_38;1,36372998991112e+01;DM1
KIF15;Ctrl_B9;3,78555099976196e+00;Ctrl
KIF15;Ctrl_B3;1,15149842322413e+01;Ctrl
KIF15;Ctrl_B4;1,62247454021502e+01;Ctrl
KIF15;Ctrl_B7;8,41061656159470e+00;Ctrl
KIF15;DM1_19;2,16135212496593e+01;DM1
KIF15;DM1_35;4,59621422823164e+01;DM1
KIF15;DM1_43;3,28875721122572e+01;DM1
KIF15;DM1_18;1,83542858188254e+01;DM1
KIF15;DM1_44;7,29780459517547e+01;DM1
KIF15;DM1_15;7,98232254699085e+01;DM1
KIF15;DM1_50;9,25383349611247e+01;DM1
KIF15;DM1_32;5,38996222910881e+01;DM1
KIF15;DM1_37;4,69904385535700e+01;DM1
KIF15;DM1_13;2,17478950392418e+01;DM1
KIF15;DM1_21;5,22505448224225e+01;DM1
KIF15;DM1_48;2,50118839249708e+01;DM1
KIF15;DM1_40;1,52788942879580e+01;DM1
KIF15;DM1_54;4,67085604895051e+01;DM1
KIF15;DM1_46;4,58162909131228e+01;DM1
KIF15;DM1_51;3,69556924582863e+01;DM1
KIF15;DM1_31;8,38691034542548e+01;DM1
KIF15;DM1_47;7,51865406942366e+01;DM1
KIF15;DM1_23;6,16788936147072e+01;DM1
KIF15;DM1_24;4,21739077721829e+01;DM1
KIF15;DM1_27;2,48355458426307e+01;DM1
CXADR;DM1_41;1,25475908117860e+02;DM1
CXADR;DM1_36;1,92237934341237e+01;DM1
CXADR;DM1_53;1,41554854811827e+01;DM1
CXADR;DM1_45;3,18138311725792e+00;DM1
CXADR;DM1_17;7,48561580226153e+01;DM1
CXADR;DM1_22;1,64573842320135e+01;DM1
CXADR;DM1_39;3,54269749834883e+01;DM1
CXADR;DM1_34;2,92782876246268e+01;DM1
CXADR;DM1_25;1,89077238006951e+01;DM1
CXADR;DM1_33;6,68681946390103e+01;DM1
CXADR;DM1_26;1,49427157575116e+01;DM1
CXADR;DM1_30;5,97508938944215e+01;DM1
CXADR;DM1_52;4,71286593700886e+01;DM1
CXADR;Ctrl_B2;7,09967857011589e+00;Ctrl
CXADR;Ctrl_B8;1,20262716742821e+01;Ctrl
CXADR;DM1_20;1,31630745264302e+01;DM1
CXADR;DM1_14;1,06236741678690e+01;DM1
CXADR;DM1_29;1,74697440337465e+01;DM1
CXADR;DM1_42;3,45817983043509e+00;DM1
CXADR;Ctrl_B10;1,63667273637419e+01;Ctrl
CXADR;Ctrl_B6;5,37799522708323e+00;Ctrl
CXADR;DM1_56;3,43630158770478e+00;DM1
CXADR;Ctrl_B11;1,95739062713727e+01;Ctrl
CXADR;DM1_28;9,97536676813849e+00;DM1
CXADR;Ctrl_B5;3,22506751741717e+00;Ctrl
CXADR;DM1_55;9,26576100973235e+00;DM1
CXADR;Ctrl_B1;2,16316468381924e+00;Ctrl
CXADR;DM1_16;4,46293515374769e+01;DM1
CXADR;DM1_38;8,37719850945403e+01;DM1
CXADR;Ctrl_B9;3,78555099976196e+00;Ctrl
CXADR;Ctrl_B3;9,04748761104676e+00;Ctrl
CXADR;Ctrl_B4;1,62247454021502e+00;Ctrl
CXADR;Ctrl_B7;4,20530828079735e+00;Ctrl
CXADR;DM1_19;1,57189245452068e+01;DM1
CXADR;DM1_35;4,44300708729059e+01;DM1
CXADR;DM1_43;9,71448283931291e+01;DM1
CXADR;DM1_18;3,53975512220204e+01;DM1
CXADR;DM1_44;7,46621547044875e+01;DM1
CXADR;DM1_15;7,19974190512900e+01;DM1
CXADR;DM1_50;1,21542887710134e+02;DM1
CXADR;DM1_32;6,00595791243553e+01;DM1
CXADR;DM1_37;1,30127368302194e+02;DM1
CXADR;DM1_13;8,65812425147173e+01;DM1
CXADR;DM1_21;6,06780520518455e+01;DM1
CXADR;DM1_48;4,10909521624521e+01;DM1
CXADR;DM1_40;5,34761300078532e+01;DM1
CXADR;DM1_54;4,15187204351156e+01;DM1
CXADR;DM1_46;1,33499192488237e+02;DM1
CXADR;DM1_51;6,41862026907077e+01;DM1
CXADR;DM1_31;1,83406061399964e+02;DM1
CXADR;DM1_47;5,97069587865997e+01;DM1
CXADR;DM1_23;9,00927659540666e+01;DM1
CXADR;DM1_24;9,23266629607248e+01;DM1
CXADR;DM1_27;6,20888646065766e+00;DM1
GABRB2;DM1_41;4,14708509881064e+01;DM1
GABRB2;DM1_36;5,66033917782532e+01;DM1
GABRB2;DM1_53;8,61125366771946e+01;DM1
GABRB2;DM1_45;9,54414935177375e+01;DM1
GABRB2;DM1_17;7,01776481462019e+01;DM1
GABRB2;DM1_22;4,38863579520359e+01;DM1
GABRB2;DM1_39;4,63771308874756e+01;DM1
GABRB2;DM1_34;5,36768606451492e+01;DM1
GABRB2;DM1_25;4,27674705015723e+01;DM1
GABRB2;DM1_33;5,49274455963299e+01;DM1
GABRB2;DM1_26;2,64371124940589e+01;DM1
GABRB2;DM1_30;4,23607083579854e+01;DM1
GABRB2;DM1_52;6,00329351499938e+01;DM1
GABRB2;Ctrl_B2;1,67810584384557e+01;Ctrl
GABRB2;Ctrl_B8;1,68367803439949e+01;Ctrl
GABRB2;DM1_20;4,16830693336955e+01;DM1
GABRB2;DM1_14;3,57341767464684e+01;DM1
GABRB2;DM1_29;4,14906420801480e+01;DM1
GABRB2;DM1_42;1,31410833556533e+01;DM1
GABRB2;Ctrl_B10;2,10429351819539e+01;Ctrl
GABRB2;Ctrl_B6;2,95789737489578e+01;Ctrl
GABRB2;DM1_56;3,60811666709002e+01;DM1
GABRB2;Ctrl_B11;7,04660625769416e+01;Ctrl
GABRB2;DM1_28;4,38916137798094e+01;DM1
GABRB2;Ctrl_B5;2,64455536428208e+01;Ctrl
GABRB2;DM1_55;2,22378264233576e+01;DM1
GABRB2;Ctrl_B1;2,52369213112245e+01;Ctrl
GABRB2;DM1_16;5,99856875503722e+01;DM1
GABRB2;DM1_38;2,14300426986033e+01;DM1
GABRB2;Ctrl_B9;1,70349794989288e+01;Ctrl
GABRB2;Ctrl_B3;2,30299684644827e+01;Ctrl
GABRB2;Ctrl_B4;2,70412423369170e+01;Ctrl
GABRB2;Ctrl_B7;6,30796242119602e+00;Ctrl
GABRB2;DM1_19;5,10865047719221e+01;DM1
GABRB2;DM1_35;4,13659280540848e+01;DM1
GABRB2;DM1_43;9,20852019143203e+01;DM1
GABRB2;DM1_18;5,72478914825269e+01;DM1
GABRB2;DM1_44;1,20694460612517e+02;DM1
GABRB2;DM1_15;2,66077418233028e+01;DM1
GABRB2;DM1_50;9,85234014013964e+01;DM1
GABRB2;DM1_32;1,67858823706532e+02;DM1
GABRB2;DM1_37;7,59076315096131e+01;DM1
GABRB2;DM1_13;8,49398919457179e+01;DM1
GABRB2;DM1_21;9,94445853071912e+01;DM1
GABRB2;DM1_48;5,00237678499417e+01;DM1
GABRB2;DM1_40;5,92057153658374e+01;DM1
GABRB2;DM1_54;2,96562288822254e+01;DM1
GABRB2;DM1_46;7,89936050226256e+01;DM1
GABRB2;DM1_51;9,53067858134751e+01;DM1
GABRB2;DM1_31;3,36398052316517e+01;DM1
GABRB2;DM1_47;2,96323425089050e+01;DM1
GABRB2;DM1_23;9,11322978689213e+01;DM1
GABRB2;DM1_24;3,68546761612770e+01;DM1
GABRB2;DM1_27;6,62281222470151e+01;DM1
STK32A;DM1_41;9,19802207813128e+01;DM1
STK32A;DM1_36;1,11604800770329e+02;DM1
STK32A;DM1_53;4,12868326534494e+01;DM1
STK32A;DM1_45;1,59069155862896e+01;DM1
STK32A;DM1_17;2,49520526742051e+01;DM1
STK32A;DM1_22;4,75435544480389e+01;DM1
STK32A;DM1_39;4,12241163444227e+01;DM1
STK32A;DM1_34;4,79099252039348e+01;DM1
STK32A;DM1_25;4,77194934017543e+01;DM1
STK32A;DM1_33;3,34340973195051e+01;DM1
STK32A;DM1_26;4,65523067830168e+01;DM1
STK32A;DM1_30;4,77115346768888e+01;DM1
STK32A;DM1_52;7,01319335864413e+01;DM1
STK32A;Ctrl_B2;2,19444610349037e+01;Ctrl
STK32A;Ctrl_B8;7,21576300456924e+00;Ctrl
STK32A;DM1_20;4,60707608425055e+01;DM1
STK32A;DM1_14;4,53920623536221e+01;DM1
STK32A;DM1_29;3,93069240759297e+01;DM1
STK32A;DM1_42;5,18726974565263e+01;DM1
STK32A;Ctrl_B10;2,33810390910599e+01;Ctrl
STK32A;Ctrl_B6;2,68899761354161e+00;Ctrl
STK32A;DM1_56;1,71815079385239e+01;DM1
STK32A;Ctrl_B11;1,56591250170981e+01;Ctrl
STK32A;DM1_28;2,39408802435324e+01;DM1
STK32A;Ctrl_B5;2,12854456149533e+01;Ctrl
STK32A;DM1_55;5,18882616545012e+01;DM1
STK32A;Ctrl_B1;2,16316468381924e+01;Ctrl
STK32A;DM1_16;4,84684355407007e+01;DM1
STK32A;DM1_38;2,14300426986033e+01;DM1
STK32A;Ctrl_B9;1,51422039990479e+01;Ctrl
STK32A;Ctrl_B3;1,15149842322413e+01;Ctrl
STK32A;Ctrl_B4;1,35206211684585e+01;Ctrl
STK32A;Ctrl_B7;2,94371579655814e+01;Ctrl
STK32A;DM1_19;4,32270424993187e+01;DM1
STK32A;DM1_35;5,20904279199586e+01;DM1
STK32A;DM1_43;3,23816094643764e+01;DM1
STK32A;DM1_18;7,69131977169827e+01;DM1
STK32A;DM1_44;7,63462634572203e+01;DM1
STK32A;DM1_15;6,41716126326715e+01;DM1
STK32A;DM1_50;1,10033144555765e+02;DM1
STK32A;DM1_32;3,07997841663361e+01;DM1
STK32A;DM1_37;6,32563595913443e+01;DM1
STK32A;DM1_13;8,08365155232195e+01;DM1
STK32A;DM1_21;1,14614098320153e+02;DM1
STK32A;DM1_48;4,82372047124438e+01;DM1
STK32A;DM1_40;2,10084796459423e+01;DM1
STK32A;DM1_54;3,33632574925036e+01;DM1
STK32A;DM1_46;1,14540727282807e+02;DM1
STK32A;DM1_51;6,41862026907077e+01;DM1
STK32A;DM1_31;5,39158522205924e+01;DM1
STK32A;DM1_47;7,87247308445536e+01;DM1
STK32A;DM1_23;9,45974042517700e+01;DM1
STK32A;DM1_24;9,30865531908542e+01;DM1
STK32A;DM1_27;5,79496069661382e+01;DM1
DNAH10;DM1_41;1,03677127470266e+02;DM1
DNAH10;DM1_36;7,26232196400230e+01;DM1
DNAH10;DM1_53;8,37532890969974e+01;DM1
DNAH10;DM1_45;3,34045227312081e+01;DM1
DNAH10;DM1_17;2,96305625506186e+01;DM1
DNAH10;DM1_22;9,50871088960778e+01;DM1
DNAH10;DM1_39;3,86476090728963e+01;DM1
DNAH10;DM1_34;3,85941064142808e+01;DM1
DNAH10;DM1_25;1,93579077007117e+01;DM1
DNAH10;DM1_33;3,10459475109691e+01;DM1
DNAH10;DM1_26;1,07472609486718e+02;DM1
DNAH10;DM1_30;6,59935245998088e+01;DM1
DNAH10;DM1_52;7,12540445238244e+01;DM1
DNAH10;Ctrl_B2;1,93627597366797e+00;Ctrl
DNAH10;Ctrl_B8;2,40525433485641e+01;Ctrl
DNAH10;DM1_20;8,77538301762010e+00;DM1
DNAH10;DM1_14;4,63578509143374e+01;DM1
DNAH10;DM1_29;1,52860260295282e+01;DM1
DNAH10;DM1_42;2,76654386434807e+01;DM1
DNAH10;Ctrl_B10;1,16905195455299e+01;Ctrl
DNAH10;Ctrl_B6;2,42009785218745e+01;Ctrl
DNAH10;DM1_56;6,87260317540956e+00;DM1
DNAH10;Ctrl_B11;1,17443437628236e+01;Ctrl
DNAH10;DM1_28;3,99014670725540e+00;DM1
DNAH10;Ctrl_B5;7,09514853831778e+00;Ctrl
DNAH10;DM1_55;5,55945660583941e+00;DM1
DNAH10;Ctrl_B1;4,32632936763848e+00;Ctrl
DNAH10;DM1_16;2,73534735229697e+01;DM1
DNAH10;DM1_38;2,92227854980955e+01;DM1
DNAH10;Ctrl_B9;1,70349794989288e+01;Ctrl
DNAH10;Ctrl_B3;9,04748761104676e+00;Ctrl
DNAH10;Ctrl_B4;3,78577392716838e+00;Ctrl
DNAH10;Ctrl_B7;6,30796242119602e+00;Ctrl
DNAH10;DM1_19;3,53675802267153e+01;DM1
DNAH10;DM1_35;5,97507849670114e+01;DM1
DNAH10;DM1_43;4,25008624219940e+01;DM1
DNAH10;DM1_18;4,85077553783243e+01;DM1
DNAH10;DM1_44;4,99618929977398e+01;DM1
DNAH10;DM1_15;7,82580641861848e+01;DM1
DNAH10;DM1_50;1,27527954150406e+02;DM1
DNAH10;DM1_32;8,31594172491074e+01;DM1
DNAH10;DM1_37;6,68710087108497e+01;DM1
DNAH10;DM1_13;3,93924136559851e+01;DM1
DNAH10;DM1_21;1,51695130129614e+02;DM1
DNAH10;DM1_48;5,89565835374313e+01;DM1
DNAH10;DM1_40;2,10084796459423e+01;DM1
DNAH10;DM1_54;3,48460689366149e+01;DM1
DNAH10;DM1_46;2,92276338583715e+01;DM1
DNAH10;DM1_51;5,83510933551888e+01;DM1
DNAH10;DM1_31;5,48374907200897e+01;DM1
DNAH10;DM1_47;1,08357073353459e+02;DM1
DNAH10;DM1_23;1,47267021271070e+02;DM1
DNAH10;DM1_24;1,14743424749543e+02;DM1
DNAH10;DM1_27;4,55318340448229e+01;DM1
ILDR2;DM1_41;1,18564099619843e+02;DM1
ILDR2;DM1_36;6,72832770194331e+01;DM1
ILDR2;DM1_53;4,12868326534494e+01;DM1
ILDR2;DM1_45;5,88555876692714e+01;DM1
ILDR2;DM1_17;1,04486720573234e+02;DM1
ILDR2;DM1_22;8,04583229120659e+01;DM1
ILDR2;DM1_39;4,31564967980675e+01;DM1
ILDR2;DM1_34;6,56543419461329e+01;DM1
ILDR2;DM1_25;6,25755621023005e+01;DM1
ILDR2;DM1_33;3,58222471280412e+01;DM1
ILDR2;DM1_26;3,04601513518505e+01;DM1
ILDR2;DM1_30;5,52918719620019e+01;DM1
ILDR2;DM1_52;7,57424882733566e+01;DM1
ILDR2;Ctrl_B2;8,39052921922787e+00;Ctrl
ILDR2;Ctrl_B8;3,12683063531334e+01;Ctrl
ILDR2;DM1_20;3,29076863160754e+01;DM1
ILDR2;DM1_14;2,31789254571687e+01;DM1
ILDR2;DM1_29;8,73487201687326e+00;DM1
ILDR2;DM1_42;6,50137808121796e+01;DM1
ILDR2;Ctrl_B10;1,40286234546359e+01;Ctrl
ILDR2;Ctrl_B6;2,68899761354161e+01;Ctrl
ILDR2;DM1_56;3,26448650831954e+01;DM1
ILDR2;Ctrl_B11;1,37017343899609e+01;Ctrl
ILDR2;DM1_28;3,39162470116709e+01;DM1
ILDR2;Ctrl_B5;1,74153645940527e+01;Ctrl
ILDR2;DM1_55;7,22729358759124e+01;DM1
ILDR2;Ctrl_B1;2,01895370489796e+01;Ctrl
ILDR2;DM1_16;4,27098095358650e+01;DM1
ILDR2;DM1_38;3,50673425977146e+01;DM1
ILDR2;Ctrl_B9;1,89277549988098e+00;Ctrl
ILDR2;Ctrl_B3;1,97399729695566e+01;Ctrl
ILDR2;Ctrl_B4;2,37962932564870e+01;Ctrl
ILDR2;Ctrl_B7;2,31291955443854e+01;Ctrl
ILDR2;DM1_19;9,23486817030899e+01;DM1
ILDR2;DM1_35;6,58790706046535e+01;DM1
ILDR2;DM1_43;8,90494260270350e+01;DM1
ILDR2;DM1_18;7,82242181326131e+01;DM1
ILDR2;DM1_44;6,11892846826251e+01;DM1
ILDR2;DM1_15;1,22082580130448e+02;DM1
ILDR2;DM1_50;1,53770168542366e+02;DM1
ILDR2;DM1_32;1,07799244582176e+02;DM1
ILDR2;DM1_37;8,67515788681293e+01;DM1
ILDR2;DM1_13;1,22690955032704e+02;DM1
ILDR2;DM1_21;1,51695130129614e+02;DM1
ILDR2;DM1_48;6,78893992249209e+01;DM1
ILDR2;DM1_40;3,81972357198951e+01;DM1
ILDR2;DM1_54;7,71061950937861e+01;DM1
ILDR2;DM1_46;7,82036689723993e+01;DM1
ILDR2;DM1_51;7,00213120262266e+01;DM1
ILDR2;DM1_31;9,40071269487252e+01;DM1
ILDR2;DM1_47;9,28774914458217e+01;DM1
ILDR2;DM1_23;7,20742127632533e+01;DM1
ILDR2;DM1_24;6,04112732952890e+01;DM1
ILDR2;DM1_27;4,96710916852613e+01;DM1
TSTD1;DM1_41;7,39031831711126e+01;DM1
TSTD1;DM1_36;9,02450302879698e+01;DM1
TSTD1;DM1_53;5,42626943445336e+01;DM1
TSTD1;DM1_45;4,93114383174977e+01;DM1
TSTD1;DM1_17;8,88916876518557e+01;DM1
TSTD1;DM1_22;9,50871088960778e+01;DM1
TSTD1;DM1_39;5,47507795199364e+01;DM1
TSTD1;DM1_34;4,52482626926051e+01;DM1
TSTD1;DM1_25;5,31217002019529e+01;DM1
TSTD1;DM1_33;5,73155954048660e+01;DM1
TSTD1;DM1_26;4,77017464566715e+01;DM1
TSTD1;DM1_30;6,51017202133249e+01;DM1
TSTD1;DM1_52;4,76897148387801e+01;DM1
TSTD1;Ctrl_B2;2,00081850612357e+01;Ctrl
TSTD1;Ctrl_B8;4,32945780274154e+01;Ctrl
TSTD1;DM1_20;4,82646065969106e+01;DM1
TSTD1;DM1_14;5,02210051571989e+01;DM1
TSTD1;DM1_29;3,05720520590564e+01;DM1
TSTD1;DM1_42;3,73483421686989e+01;DM1
TSTD1;Ctrl_B10;3,50715586365898e+01;Ctrl
TSTD1;Ctrl_B6;2,95789737489578e+01;Ctrl
TSTD1;DM1_56;1,37452063508191e+01;DM1
TSTD1;Ctrl_B11;3,71904219156080e+01;Ctrl
TSTD1;DM1_28;3,99014670725540e+01;DM1
TSTD1;Ctrl_B5;2,45105131323705e+01;Ctrl
TSTD1;DM1_55;5,37414138564477e+01;DM1
TSTD1;Ctrl_B1;2,23527017327988e+01;Ctrl
TSTD1;DM1_16;4,99080920419096e+01;DM1
TSTD1;DM1_38;5,64973852963179e+01;DM1
TSTD1;Ctrl_B9;2,83916324982147e+01;Ctrl
TSTD1;Ctrl_B3;1,15149842322413e+01;Ctrl
TSTD1;Ctrl_B4;1,29797963217202e+01;Ctrl
TSTD1;Ctrl_B7;2,52318496847841e+01;Ctrl
TSTD1;DM1_19;4,12621769311678e+01;DM1
TSTD1;DM1_35;1,31758141209307e+02;DM1
TSTD1;DM1_43;3,84531612389469e+01;DM1
TSTD1;DM1_18;8,39053066003447e+01;DM1
TSTD1;DM1_44;7,57848938729761e+01;DM1
TSTD1;DM1_15;8,45187093210796e+01;DM1
TSTD1;DM1_50;7,13604075570862e+01;DM1
TSTD1;DM1_32;7,85394496241570e+01;DM1
TSTD1;DM1_37;1,15668771824172e+02;DM1
TSTD1;DM1_13;9,64293459287136e+01;DM1
TSTD1;DM1_21;1,29783611333114e+02;DM1
TSTD1;DM1_48;4,82372047124438e+01;DM1
TSTD1;DM1_40;8,59437803697640e+01;DM1
TSTD1;DM1_54;4,37429376012825e+01;DM1
TSTD1;DM1_46;6,71445642692317e+01;DM1
TSTD1;DM1_51;1,18647223155551e+02;DM1
TSTD1;DM1_31;6,82012489628006e+01;DM1
TSTD1;DM1_47;7,51865406942366e+01;DM1
TSTD1;DM1_23;6,30649361678467e+01;DM1
TSTD1;DM1_24;7,63689681280069e+01;DM1
TSTD1;DM1_27;9,31332969098650e+01;DM1
GPR98;DM1_41;1,09525580814742e+02;DM1
GPR98;DM1_36;1,04128881101504e+02;DM1
GPR98;DM1_53;2,76031966883062e+02;DM1
GPR98;DM1_45;1,47934314952493e+02;DM1
GPR98;DM1_17;5,14636086405480e+01;DM1
GPR98;DM1_22;7,13153316720584e+01;DM1
GPR98;DM1_39;3,54269749834883e+01;DM1
GPR98;DM1_34;1,37519229752035e+01;DM1
GPR98;DM1_25;3,60147120013240e+01;DM1
GPR98;DM1_33;7,16444942560825e+00;DM1
GPR98;DM1_26;6,14950225405283e+01;DM1
GPR98;DM1_30;2,63082294012751e+01;DM1
GPR98;DM1_52;3,25412171841088e+01;DM1
GPR98;Ctrl_B2;7,09967857011589e+00;Ctrl
GPR98;Ctrl_B8;4,81050866971283e+00;Ctrl
GPR98;DM1_20;4,38769150881005e+00;DM1
GPR98;DM1_14;3,62170710268261e+01;DM1
GPR98;DM1_29;1,09185900210916e+01;DM1
GPR98;DM1_42;8,99126755913123e+00;DM1
GPR98;Ctrl_B10;0,00000000000000e+00;Ctrl
GPR98;Ctrl_B6;5,37799522708323e+00;Ctrl
GPR98;DM1_56;0,00000000000000e+00;DM1
GPR98;Ctrl_B11;3,91478125427453e+00;Ctrl
GPR98;DM1_28;7,98029341451080e+00;DM1
GPR98;Ctrl_B5;6,45013503483434e-01;Ctrl
GPR98;DM1_55;1,85315220194647e+01;DM1
GPR98;Ctrl_B1;7,21054894606413e+00;Ctrl
GPR98;DM1_16;1,67959925141042e+01;DM1
GPR98;DM1_38;2,53264140983494e+01;DM1
GPR98;Ctrl_B9;1,51422039990479e+01;Ctrl
GPR98;Ctrl_B3;4,93499324238914e+00;Ctrl
GPR98;Ctrl_B4;9,73484724129012e+00;Ctrl
GPR98;Ctrl_B7;2,10265414039867e+00;Ctrl
GPR98;DM1_19;3,92973113630170e+01;DM1
GPR98;DM1_35;1,16437427115202e+02;DM1
GPR98;DM1_43;2,52981323940440e+01;DM1
GPR98;DM1_18;1,05755646860851e+02;DM1
GPR98;DM1_44;1,04414742669434e+02;DM1
GPR98;DM1_15;1,34603870400238e+02;DM1
GPR98;DM1_50;2,72550717895452e+02;DM1
GPR98;DM1_32;1,69398812914848e+01;DM1
GPR98;DM1_37;1,19283420943678e+02;DM1
GPR98;DM1_13;2,01475782344674e+02;DM1
GPR98;DM1_21;8,59605737401144e+01;DM1
GPR98;DM1_48;4,82372047124438e+01;DM1
GPR98;DM1_40;2,29183414319371e+01;DM1
GPR98;DM1_54;1,77937373293353e+01;DM1
GPR98;DM1_46;1,03481622579639e+02;DM1
GPR98;DM1_51;4,27908017938051e+01;DM1
GPR98;DM1_31;1,80180326651723e+02;DM1
GPR98;DM1_47;1,15433453654093e+02;DM1
GPR98;DM1_23;5,32240340405563e+02;DM1
GPR98;DM1_24;3,52969011895117e+02;DM1
GPR98;DM1_27;5,79496069661382e+01;DM1
COL6A6;DM1_41;2,42976652584162e+02;DM1
COL6A6;DM1_36;2,62725176933024e+02;DM1
COL6A6;DM1_53;8,08042296217511e+01;DM1
COL6A6;DM1_45;4,77207467588687e+01;DM1
COL6A6;DM1_17;7,32966547304775e+01;DM1
COL6A6;DM1_22;5,12007509440419e+01;DM1
COL6A6;DM1_39;6,82774426954501e+01;DM1
COL6A6;DM1_34;1,02917617104749e+02;DM1
COL6A6;DM1_25;9,99408258036741e+01;DM1
COL6A6;DM1_33;1,12243041001196e+02;DM1
COL6A6;DM1_26;5,80467035195641e+01;DM1
COL6A6;DM1_30;8,16001013632771e+01;DM1
COL6A6;DM1_52;1,18943759362604e+02;DM1
COL6A6;Ctrl_B2;6,26062564819311e+01;Ctrl
COL6A6;Ctrl_B8;4,08893236925590e+01;Ctrl
COL6A6;DM1_20;4,60707608425055e+01;DM1
COL6A6;DM1_14;7,62972962965137e+01;DM1
COL6A6;DM1_29;5,24092321012396e+01;DM1
COL6A6;DM1_42;6,98552325747887e+01;DM1
COL6A6;Ctrl_B10;1,87048312728479e+01;Ctrl
COL6A6;Ctrl_B6;2,42009785218745e+01;Ctrl
COL6A6;DM1_56;2,40541111139335e+01;DM1
COL6A6;Ctrl_B11;5,87217188141180e+00;Ctrl
COL6A6;DM1_28;8,17980074987356e+01;DM1
COL6A6;Ctrl_B5;9,67520255225152e+00;Ctrl
COL6A6;DM1_55;6,85666314720194e+01;DM1
COL6A6;Ctrl_B1;3,60527447303207e+01;Ctrl
COL6A6;DM1_16;5,66264890475513e+01;DM1
COL6A6;DM1_38;8,18237993946673e+01;DM1
COL6A6;Ctrl_B9;1,70349794989288e+01;Ctrl
COL6A6;Ctrl_B3;1,48049797271674e+01;Ctrl
COL6A6;Ctrl_B4;1,40614460151968e+01;Ctrl
COL6A6;Ctrl_B7;6,72849324927576e+01;Ctrl
COL6A6;DM1_19;8,84189505667882e+01;DM1
COL6A6;DM1_35;3,09478424700931e+02;DM1
COL6A6;DM1_43;4,85724141965645e+01;DM1
COL6A6;DM1_18;1,27168980316147e+02;DM1
COL6A6;DM1_44;1,88058810721829e+02;DM1
COL6A6;DM1_15;9,70399995908691e+01;DM1
COL6A6;DM1_50;2,64263702824306e+02;DM1
COL6A6;DM1_32;1,01639287748909e+02;DM1
COL6A6;DM1_37;1,40971315660710e+02;DM1
COL6A6;DM1_13;2,86826011932642e+02;DM1
COL6A6;DM1_21;1,92147164830844e+02;DM1
COL6A6;DM1_48;5,89565835374313e+01;DM1
COL6A6;DM1_40;6,30254389378269e+01;DM1
COL6A6;DM1_54;1,35677247136181e+02;DM1
COL6A6;DM1_46;2,04593437008600e+02;DM1
COL6A6;DM1_51;8,16915306972644e+01;DM1
COL6A6;DM1_31;7,41918992095331e+01;DM1
