Genes;samples;counts;condition
SLC38A1;DM1_46;7,55968800066527e+02;DM1
SLC38A1;DM1_51;5,62115532654986e+02;DM1
SLC38A1;DM1_31;5,31324594960197e+02;DM1
SLC38A1;DM1_47;3,81239988696659e+02;DM1
SLC38A1;DM1_23;5,16993872321029e+02;DM1
SLC38A1;DM1_24;2,80399494917757e+02;DM1
SLC38A1;DM1_27;1,53359495578244e+03;DM1
COL21A1;DM1_41;1,92998960367726e+03;DM1
COL21A1;DM1_36;2,28709742439867e+03;DM1
COL21A1;DM1_53;2,68718299384451e+03;DM1
COL21A1;DM1_45;1,13257238974382e+03;DM1
COL21A1;DM1_17;9,40380485159105e+02;DM1
COL21A1;DM1_22;2,04071564476967e+03;DM1
COL21A1;DM1_39;1,66055893649878e+03;DM1
COL21A1;DM1_34;5,62054400309124e+02;DM1
COL21A1;DM1_25;1,03587315393808e+03;DM1
COL21A1;DM1_33;1,18929860465097e+03;DM1
COL21A1;DM1_26;2,12876227560857e+03;DM1
COL21A1;DM1_30;2,22193062892464e+03;DM1
COL21A1;DM1_52;2,40524479428059e+03;DM1
COL21A1;Ctrl_B2;2,16862909050813e+02;Ctrl
COL21A1;Ctrl_B8;4,56998323622719e+01;Ctrl
COL21A1;DM1_20;3,72953778248854e+02;DM1
COL21A1;DM1_14;9,70134609238583e+02;DM1
COL21A1;DM1_29;7,35912967421572e+02;DM1
COL21A1;DM1_42;5,00052803480913e+02;DM1
COL21A1;Ctrl_B10;4,25534911457290e+02;Ctrl
COL21A1;Ctrl_B6;2,36631789991662e+02;Ctrl
COL21A1;DM1_56;1,63224325415977e+02;DM1
COL21A1;Ctrl_B11;1,09613875119687e+02;Ctrl
COL21A1;DM1_28;2,67339829386112e+02;DM1
COL21A1;Ctrl_B5;2,27689766729652e+02;Ctrl
COL21A1;DM1_55;1,98287285608272e+02;DM1
COL21A1;Ctrl_B1;8,58055324581632e+01;Ctrl
COL21A1;DM1_16;1,06966478039824e+03;DM1
COL21A1;DM1_38;9,56559178637658e+02;DM1
COL21A1;Ctrl_B9;5,11049384967865e+02;Ctrl
COL21A1;Ctrl_B3;1,98222228569297e+02;Ctrl
COL21A1;Ctrl_B4;1,13573217815051e+02;Ctrl
COL21A1;Ctrl_B7;2,08162759899469e+02;Ctrl
COL21A1;DM1_19;1,06692200350591e+03;DM1
COL21A1;DM1_35;1,74962554954685e+03;DM1
COL21A1;DM1_43;1,08579584235237e+03;DM1
COL21A1;DM1_18;1,89049143933902e+03;DM1
COL21A1;DM1_44;1,44777215776596e+03;DM1
COL21A1;DM1_15;2,17870450694338e+03;DM1
COL21A1;DM1_50;1,94376542390979e+03;DM1
COL21A1;DM1_32;7,99254399116421e+02;DM1
COL21A1;DM1_37;1,27958578830491e+03;DM1
COL21A1;DM1_13;1,36314164755399e+03;DM1
COL21A1;DM1_21;1,47818476804079e+03;DM1
COL21A1;DM1_48;1,57396212413567e+03;DM1
COL21A1;DM1_40;6,34074112950259e+02;DM1
COL21A1;DM1_54;1,20552570406246e+03;DM1
COL21A1;DM1_46;1,04192565024843e+03;DM1
COL21A1;DM1_51;7,48839031391590e+02;DM1
COL21A1;DM1_31;1,46402275645147e+03;DM1
COL21A1;DM1_47;2,16758374083796e+03;DM1
COL21A1;DM1_23;3,02295880839722e+03;DM1
COL21A1;DM1_24;2,98902822021408e+03;DM1
COL21A1;DM1_27;1,21694174628890e+03;DM1
GREB1L;DM1_41;1,64288371222114e+03;DM1
GREB1L;DM1_36;2,17762860067657e+03;DM1
GREB1L;DM1_53;1,81603082485673e+03;DM1
GREB1L;DM1_45;6,20369707865293e+02;DM1
GREB1L;DM1_17;5,67659198338166e+02;DM1
GREB1L;DM1_22;1,15933128923295e+03;DM1
GREB1L;DM1_39;1,21031429079954e+03;DM1
GREB1L;DM1_34;9,07183305944876e+02;DM1
GREB1L;DM1_25;9,08471110233398e+02;DM1
GREB1L;DM1_33;1,02451626786198e+03;DM1
GREB1L;DM1_26;1,95577160472353e+03;DM1
GREB1L;DM1_30;1,59766755838591e+03;DM1
GREB1L;DM1_52;1,47894221547087e+03;DM1
GREB1L;Ctrl_B2;2,11054081129809e+02;Ctrl
GREB1L;Ctrl_B8;1,44315260091385e+02;Ctrl
GREB1L;DM1_20;3,97086081547310e+02;DM1
GREB1L;DM1_14;6,77500675341827e+02;DM1
GREB1L;DM1_29;2,92618212565254e+02;DM1
GREB1L;DM1_42;6,74345066934842e+02;DM1
GREB1L;Ctrl_B10;3,92801456729806e+02;Ctrl
GREB1L;Ctrl_B6;2,98478735103119e+02;Ctrl
GREB1L;DM1_56;3,48784611152035e+02;DM1
GREB1L;Ctrl_B11;3,11225109714825e+02;Ctrl
GREB1L;DM1_28;3,07241296458666e+02;DM1
GREB1L;Ctrl_B5;4,14743682739848e+02;Ctrl
GREB1L;DM1_55;3,66924135985401e+02;DM1
GREB1L;Ctrl_B1;2,65348201215160e+02;Ctrl
GREB1L;DM1_16;9,63130199308775e+02;DM1
GREB1L;DM1_38;7,18880523253148e+02;DM1
GREB1L;Ctrl_B9;3,61520120477267e+02;Ctrl
GREB1L;Ctrl_B3;2,67312133962745e+02;Ctrl
GREB1L;Ctrl_B4;2,48779429499636e+02;Ctrl
GREB1L;Ctrl_B7;2,56523805128638e+02;Ctrl
GREB1L;DM1_19;1,10425444930078e+03;DM1
GREB1L;DM1_35;1,01576334443919e+03;DM1
GREB1L;DM1_43;1,51687601834688e+03;DM1
GREB1L;DM1_18;9,08537148031858e+02;DM1
GREB1L;DM1_44;1,70487942734984e+03;DM1
GREB1L;DM1_15;2,74842321421881e+03;DM1
GREB1L;DM1_50;2,36502202335969e+03;DM1
GREB1L;DM1_32;1,91574657514610e+03;DM1
GREB1L;DM1_37;7,30159122140088e+02;DM1
GREB1L;DM1_13;9,45007590101393e+02;DM1
GREB1L;DM1_21;1,09894694271676e+03;DM1
GREB1L;DM1_48;1,02727380406130e+03;DM1
GREB1L;DM1_40;6,07336047946332e+02;DM1
GREB1L;DM1_54;6,91731538677908e+02;DM1
GREB1L;DM1_46;8,43651701641641e+02;DM1
GREB1L;DM1_51;1,62799550460977e+03;DM1
GREB1L;DM1_31;2,48427657539499e+03;DM1
GREB1L;DM1_47;1,82880203394511e+03;DM1
GREB1L;DM1_23;2,10158702119775e+03;DM1
GREB1L;DM1_24;2,77853862646823e+03;DM1
GREB1L;DM1_27;7,16091571795851e+02;DM1
SLC16A3;DM1_41;1,58439917877637e+02;DM1
SLC16A3;DM1_36;6,19433343988432e+01;DM1
SLC16A3;DM1_53;8,13940415168003e+01;DM1
SLC16A3;DM1_45;9,06694188418506e+01;DM1
SLC16A3;DM1_17;5,45826152248237e+02;DM1
SLC16A3;DM1_22;1,88345619544154e+02;DM1
SLC16A3;DM1_39;7,73596308275807e+02;DM1
SLC16A3;DM1_34;2,55519601087652e+02;DM1
SLC16A3;DM1_25;2,36796731408705e+02;DM1
SLC16A3;DM1_33;7,33161991220577e+02;DM1
SLC16A3;DM1_26;8,10354969926588e+01;DM1
SLC16A3;DM1_30;1,37783777711763e+02;DM1
SLC16A3;DM1_52;1,45313366391106e+02;DM1
SLC16A3;Ctrl_B2;3,08319677540397e+03;Ctrl
SLC16A3;Ctrl_B8;2,59045891864036e+03;Ctrl
SLC16A3;DM1_20;1,07937211116727e+03;DM1
SLC16A3;DM1_14;2,25511628927037e+02;DM1
SLC16A3;DM1_29;3,03536802586346e+02;DM1
SLC16A3;DM1_42;4,42647018295691e+02;DM1
SLC16A3;Ctrl_B10;8,44055511187261e+02;Ctrl
SLC16A3;Ctrl_B6;6,29225441568738e+02;Ctrl
SLC16A3;DM1_56;7,68013404852019e+02;DM1
SLC16A3;Ctrl_B11;5,93089360022592e+02;Ctrl
SLC16A3;DM1_28;4,04999890786423e+02;DM1
SLC16A3;Ctrl_B5;5,63741802044522e+02;Ctrl
SLC16A3;DM1_55;1,00255534125304e+03;DM1
